name,size,ra_slug,ra_club_id,confidence,title_filter,title_exclude,notes
AVA,3 - M,promoters/50895,50895,1.000,,,corrected from promoters/138671
Accidental Meetings,1 - XS,promoters/82845,82845,1.000,,Seaside Beano,auto:ra-search
Animal Crossing,2 - S,promoters/79217,79217,1.000,Animal Crossing,,also runs regular club nights; filter by title
Another Thought,1 - XS,promoters/181912,181912,1.000,,,auto:ra-search
Appetite on the Farm,3 - M,promoters/68444,68444,1.000,,Eastern Electrics|Higher Love,verified
Astral Plane,2 - S,events/2257004,2257004,1.000,,,corrected from promoters/74439; single event
Astropolis,3 - M,promoters/28598,28598,1.000,,,auto:ra-search
Awakenings,5 - XL,promoters/39167,39167,1.000,Awakenings Festival,,corrected from promoters/57693; filter to exclude Upclose/other events
Baltic Weekender,2 - S,promoters/69966,69966,1.000,,,auto:ra-search
Beyond The Pale,3 - M,promoters/159645,159645,1.000,,,corrected from clubs/174799
Beyond The Woods,2 - S,promoters/159553,159553,1.000,,,auto:ra-search
Body Movements,2 - S,promoters/99776,99776,1.000,,,corrected from promoters/33642
Bosburcht,2 - S,events/2099196,2099196,1.000,,,Single event
Botanica,1 - XS,promoters/62649,62649,1.000,,,corrected from clubs/50544; RA name is botánica (Sweden)
Brunch Electronik,4 - L,promoters/103095,103095,1.000,,Blackworks,verified
Butik,2 - S,promoters/87343,87343,1.000,,,corrected from clubs/46593
Chateau Perche,2 - S,promoters/72230,72230,1.000,,,verified
Chimaera,1 - XS,promoters/140807,140807,1.000,,,auto:ra-search
DGTL,4 - L,promoters/38800,38800,1.000,,,auto:ra-search
De Weide,1 - XS,promoters/119704,119704,1.000,,,auto:ra-search
Defected,2 - S,promoters/82895,82895,1.000,,Run Away,auto:ra-search
Defected Malta,2 - S,promoters/82895,82895,1.000,,Run Away,Shares promoter with Defected
Dekmantel,3 - M,promoters/1697,1697,1.000,,Selectors|Kabinet,auto:ra-search
Dekmantel Selectors,2 - S,promoters/72710,72710,1.000,,,auto:ra-search
Dias De Campo,2 - S,promoters/59742,59742,1.000,,,Also has non-festival events
Dimensions,2 - S,promoters/28795,28795,1.000,,,auto:ra-search
Dissonanze,2 - S,events/2403632,2403632,1.000,,,corrected from promoters/162962; single event Rome
Distortion,5 - XL,promoters/34752,34752,1.000,,,auto:ra-search
District X,4 - L,promoters/140324,140324,1.000,,,corrected from clubs/158302
Dockyard Festival,2 - S,promoters/43225,43225,1.000,Dockyard,,ADE festival; same promoter as Mystic Garden
Doel,2 - S,promoters/60724,60724,1.000,Doel,,corrected from clubs/198977; shares promoter with Paradise City
Down The Rabbit Hole,4 - L,promoters/76220,76220,1.000,,,corrected from promoters/50933
Drift,2 - S,promoters/9592,9592,1.000,,,corrected from promoters/76087; Drift om te dansen (Nijmegen NL)
Dusty Flyers Club,1 - XS,promoters/106536,106536,1.000,,,auto:ra-search
Eletrico,2 - S,promoters/80100,80100,1.000,,,verified
Eternal Sun,1 - XS,promoters/156713,156713,1.000,,,auto:ra-search
Evasion,3 - M,promoters/70956,70956,1.000,,,corrected from clubs/59505
Festifest,4 - L,promoters/78058,78058,1.000,,,auto:ra-search
Field Maneuvers,1 - XS,promoters/57823,57823,1.000,,,auto:ra-search
Flash Tuscany,1 - XS,promoters/72416,72416,1.000,,,"Page is ""Realise Music"" (organizer)"
Freerotation,1 - XS,promoters/7012,7012,1.000,,,auto:ra-search
Funk In The Forest,1 - XS,promoters/159862,159862,1.000,,,corrected from empty
Fuse Malta,2 - S,promoters/15502,15502,1.000,,,Promoter is Fuse London (15502)
Fuse Open Air,1 - XS,promoters/71118,71118,1.000,,,corrected from clubs/19673
GLITCH,3 - M,promoters/58684,58684,1.000,,,corrected from clubs/173171
Gala,3 - M,promoters/59391,59391,1.000,,,auto:ra-search
Gottwood,2 - S,promoters/41377,41377,1.000,,,auto:ra-search
Hangar,3 - M,promoters/84381,84381,1.000,,,auto:ra-search
Het Systeem,1 - XS,promoters/74959,74959,1.000,,,Promoter is Nachtparlement (74959)
Higher Love Malta,2 - S,promoters/156357,156357,1.000,,,verified
